,gender,ocp_cd,age,kp_txn_amt,cc_txn_amt
57,2,3.0,5,1846600,59100.0
58,1,3.0,3,291100,0.0
59,2,9.0,4,96000,6800.0
60,2,9.0,4,100,0.0
61,1,9.0,4,1752800,38300.0
62,2,3.0,4,307600,19100.0
63,1,9.0,4,55900,11500.0
64,1,9.0,4,292000,0.0
65,1,3.0,3,88200,12500.0
66,2,3.0,2,80600,6200.0
67,2,9.0,3,567400,5000.0
68,1,7.0,3,1269200,0.0
69,1,9.0,3,302900,0.0
70,2,9.0,6,23400,0.0
71,2,9.0,3,32800,6300.0
72,2,3.0,4,751300,25500.0
73,2,1.0,3,326200,24600.0
74,2,3.0,4,2919800,45400.0
75,2,9.0,3,337800,13000.0
76,2,3.0,4,973500,12800.0
77,2,9.0,4,141200,0.0
78,1,9.0,3,1999600,106700.0
79,1,3.0,4,800100,53600.0
80,1,3.0,4,2235500,41000.0
81,2,9.0,3,252300,46000.0
82,2,3.0,3,2878700,45400.0
83,2,13.0,5,689000,86300.0
84,2,9.0,5,164700,21900.0
85,1,3.0,3,225700,13500.0
86,2,3.0,5,249900,0.0
87,2,4.0,4,5334000,15900.0
88,1,3.0,3,2038800,106100.0
89,1,3.0,4,1387800,32600.0
90,1,3.0,3,1100400,71600.0
91,1,3.0,3,436000,18000.0
92,2,9.0,4,831900,17100.0
93,1,9.0,3,415500,5300.0
94,1,3.0,4,237000,9100.0
95,2,3.0,3,207200,0.0
96,1,3.0,5,1649100,20600.0
97,2,9.0,3,41600,1200.0
98,1,3.0,3,3894800,5600.0
99,2,9.0,5,109500,25800.0
100,1,3.0,4,782500,13300.0
101,2,9.0,5,18600,2400.0
102,2,9.0,3,200600,10300.0
103,2,9.0,3,58700,0.0
104,1,3.0,3,516900,76300.0
105,2,3.0,3,584800,40000.0
106,2,3.0,4,106600,3100.0
107,2,3.0,3,189500,12800.0
108,1,9.0,3,570600,9800.0
109,1,4.0,6,256300,0.0
110,2,3.0,4,36600,0.0
111,1,3.0,4,1808100,124800.0
112,2,3.0,4,2865300,60100.0
113,2,3.0,3,2378900,172700.0
114,2,3.0,4,47000,35300.0
115,2,3.0,6,737100,23800.0
116,1,9.0,3,1241200,68700.0
117,2,3.0,4,81000,14900.0
118,2,9.0,4,327300,55800.0
119,1,3.0,3,458500,0.0
120,2,3.0,4,935600,0.0
121,1,3.0,4,8100,0.0
122,1,9.0,4,199000,16000.0
123,2,3.0,4,365900,4400.0
124,2,3.0,3,1587500,3500.0
125,1,9.0,4,2820000,26000.0
126,2,3.0,3,79000,0.0
127,1,3.0,3,1676800,40800.0
128,1,9.0,3,358100,7800.0
129,2,3.0,3,194500,24400.0
130,1,9.0,3,177600,35600.0
131,2,5.0,6,133800,0.0
132,1,3.0,4,976900,27300.0
133,1,3.0,3,232800,42100.0
134,2,3.0,5,115900,15000.0
135,2,9.0,4,287100,400.0
136,1,3.0,3,364200,25500.0
137,2,4.0,4,2596800,4400.0
138,1,4.0,5,71000,0.0
139,1,9.0,4,4500,0.0
140,1,3.0,3,332500,70000.0
141,2,9.0,3,500300,29200.0
142,1,9.0,4,1164600,3000.0
143,2,9.0,3,96800,4300.0
144,1,3.0,3,35800,1000.0
145,1,3.0,5,3922700,19800.0
146,2,3.0,3,2112300,20800.0
147,1,3.0,3,22251200,1471000.0
148,1,3.0,5,12600,0.0
149,1,3.0,4,1230600,145400.0
150,2,9.0,4,267300,12700.0
151,2,3.0,4,409500,0.0
152,1,9.0,4,467100,32300.0
153,1,9.0,3,166400,5600.0
154,2,3.0,4,521400,19600.0
155,1,9.0,3,1891500,8900.0
156,2,1.0,3,578700,47200.0
157,1,9.0,3,616300,9600.0
158,1,3.0,5,1035100,13400.0
159,2,9.0,4,275600,23700.0
160,1,3.0,3,116900,13900.0
161,1,9.0,4,1784900,174300.0
162,2,3.0,3,119900,9000.0
163,1,3.0,5,87400,0.0
164,1,3.0,3,488400,26000.0
165,2,3.0,4,208600,15000.0
166,1,3.0,4,122400,13500.0
167,2,3.0,4,380200,25500.0
168,1,3.0,4,2494900,115500.0
169,1,9.0,5,963700,64000.0
170,2,3.0,3,8469500,63400.0
171,2,9.0,3,1047900,69700.0
172,2,3.0,3,5365700,46100.0
173,1,9.0,3,800,2200.0
174,1,9.0,5,8300,0.0
175,1,3.0,4,711800,10000.0
176,1,9.0,4,1093300,37200.0
177,1,9.0,4,185400,33400.0
178,1,9.0,4,6330000,41100.0
179,2,3.0,3,316800,22700.0
180,2,3.0,3,16658300,67000.0
181,2,3.0,4,147000,0.0
182,2,9.0,4,278600,17600.0
183,2,9.0,3,288500,23600.0
184,1,9.0,3,993200,70100.0
185,2,3.0,3,480700,64300.0
186,1,4.0,4,1153800,1099700.0
187,1,4.0,5,206400,0.0
188,1,9.0,5,252200,0.0
189,1,3.0,4,1350200,113800.0
190,1,4.0,4,1550700,49800.0
191,1,3.0,4,109200,2000.0
192,1,3.0,2,382200,51000.0
193,1,9.0,4,36000,10000.0
194,2,9.0,4,206900,48900.0
195,2,9.0,5,3587700,192900.0
196,1,9.0,4,373100,37400.0
197,2,9.0,4,335600,20400.0
198,2,3.0,3,68000,0.0
199,2,3.0,3,31200,8000.0
200,1,9.0,3,683100,64200.0
201,2,3.0,3,1264200,1400.0
202,2,3.0,4,38100,600.0
203,1,3.0,5,41900,29200.0
204,1,9.0,3,518800,11300.0
205,2,3.0,3,202800,49800.0
206,2,3.0,4,386200,9800.0
207,1,9.0,4,1500,0.0
208,1,3.0,6,369000,0.0
209,1,9.0,3,1266100,168800.0
210,2,3.0,4,288100,11500.0
211,2,3.0,3,1180000,42800.0
212,1,3.0,3,617300,34900.0
213,2,9.0,3,90900,2600.0
214,2,12.0,4,1906900,165900.0
215,1,3.0,4,166200,27900.0
216,2,3.0,4,90400,0.0
217,2,3.0,3,568500,1500.0
218,2,3.0,3,196200,37900.0
219,1,9.0,3,613100,13700.0
220,2,9.0,4,314500,38300.0
221,2,3.0,5,359500,16700.0
222,2,3.0,3,69000,400.0
223,1,3.0,4,150400,0.0
224,2,3.0,3,121000,36300.0
225,2,7.0,5,13611700,143900.0
226,2,9.0,3,331100,3800.0
227,2,3.0,4,518100,37800.0
228,2,9.0,5,810800,22300.0
229,1,3.0,5,829500,0.0
230,1,9.0,4,63800,5400.0
231,1,3.0,4,88200,23800.0
232,2,3.0,4,600700,36600.0
233,1,9.0,4,3334700,14000.0
234,1,9.0,3,94100,400.0
235,2,3.0,3,239200,5000.0
236,1,9.0,3,16300,23900.0
237,2,3.0,6,922000,56100.0
238,2,7.0,3,93600,2800.0
239,1,3.0,4,319700,74800.0
240,2,9.0,4,914700,129300.0
241,1,3.0,3,170600,14200.0
242,1,9.0,3,205200,23500.0
243,2,9.0,3,249800,1000.0
244,1,7.0,4,28944000,177000.0
245,2,4.0,3,4838800,1700.0
246,1,3.0,5,530300,52400.0
247,2,9.0,3,206600,10000.0
248,2,9.0,3,85800,5700.0
249,2,3.0,5,208100,14700.0
250,2,3.0,3,35300,0.0
251,2,3.0,6,713300,50100.0
252,2,9.0,5,3424800,210000.0
253,1,9.0,4,253400,2300.0
254,1,4.0,4,39560700,22700.0
255,1,9.0,4,2432000,15000.0
256,1,9.0,3,36500,10700.0
257,2,9.0,3,180200,0.0
258,2,9.0,4,2114200,0.0
259,1,3.0,4,1692200,143100.0
260,2,3.0,3,432200,16800.0
261,1,3.0,4,717600,32600.0
262,2,3.0,3,563200,80900.0
263,2,1.0,3,113600,12400.0
264,2,9.0,3,59400,0.0
265,2,3.0,4,1082400,31000.0
266,2,3.0,4,1063200,0.0
267,2,3.0,3,233100,5500.0
268,1,3.0,3,813600,0.0
269,2,3.0,3,495600,0.0
270,2,9.0,3,208700,13000.0
271,1,9.0,4,1207600,30900.0
272,1,3.0,4,197200,13300.0
273,1,3.0,6,2115000,10000.0
274,2,9.0,3,186800,18700.0
275,2,3.0,3,222400,17100.0
276,1,9.0,6,70000,4400.0
277,2,3.0,4,829000,0.0
278,2,3.0,3,277700,12000.0
279,2,3.0,3,223600,0.0
280,2,9.0,4,964900,25300.0
281,1,3.0,4,205300,0.0
282,2,9.0,4,356100,184000.0
283,2,3.0,4,5192600,118600.0
284,2,9.0,3,871200,3700.0
285,1,9.0,3,1173100,37100.0
286,2,3.0,3,367600,27600.0
287,2,3.0,5,138600,0.0
288,1,1.0,5,68500,0.0
289,1,3.0,4,233700,6700.0
290,1,3.0,3,71100,0.0
291,1,3.0,3,347400,16500.0
292,2,3.0,3,3094800,32900.0
293,2,3.0,5,727200,14200.0
294,1,9.0,4,60600,2100.0
295,1,3.0,4,641100,107000.0
296,1,3.0,2,111400,33800.0
297,1,9.0,4,1015600,71300.0
298,2,3.0,4,15200,500.0
299,1,9.0,4,95600,0.0
300,2,3.0,4,1145500,104200.0
301,2,9.0,3,1064000,46400.0
302,2,9.0,3,297500,20500.0
303,1,3.0,4,158300,9300.0
304,2,3.0,5,693600,0.0
305,1,3.0,3,5391100,33300.0
306,1,9.0,4,376600,5000.0
307,1,3.0,4,1341100,49000.0
308,1,3.0,5,78500,0.0
309,1,13.0,4,1249400,38000.0
310,2,3.0,4,368800,13100.0
311,2,9.0,4,413600,39000.0
312,2,9.0,3,670000,48700.0
313,1,3.0,3,141500,3700.0
314,2,9.0,3,455800,0.0
315,1,9.0,4,12900,0.0
316,2,4.0,3,1296700,313100.0
317,2,3.0,2,914600,23600.0
318,1,3.0,2,383400,45900.0
319,2,9.0,4,709400,8200.0
320,2,9.0,4,3448600,0.0
321,2,9.0,4,1188900,89200.0
322,2,13.0,5,794400,45200.0
323,1,9.0,4,476800,20000.0
324,2,3.0,3,208200,0.0
325,2,3.0,3,303300,21000.0
326,1,13.0,5,467800,0.0
327,1,9.0,3,335600,35000.0
328,1,3.0,4,190600,15400.0
329,2,3.0,4,711900,18100.0
330,2,3.0,3,755400,99700.0
331,2,3.0,3,87400,0.0
332,2,9.0,4,605900,131600.0
333,2,3.0,3,2417100,306400.0
334,2,3.0,3,188000,2000.0
335,2,9.0,4,279200,0.0
336,2,3.0,3,369000,23600.0
337,1,9.0,4,459700,22800.0
338,2,3.0,4,44800,4500.0
339,2,9.0,4,567400,80200.0
340,2,9.0,4,865700,34500.0
341,1,9.0,3,1770900,64500.0
342,1,1.0,4,37300,0.0
343,1,3.0,3,201600,21300.0
344,2,3.0,4,475200,35000.0
345,2,3.0,4,776200,69200.0
346,1,3.0,6,38400,1000.0
347,2,3.0,4,46900,0.0
348,2,9.0,4,68300,13500.0
349,1,3.0,5,57000,0.0
350,2,4.0,5,347200,0.0
351,2,3.0,4,477600,47500.0
352,1,3.0,4,194200,7000.0
353,1,9.0,4,64200,3500.0
354,2,9.0,4,108200,0.0
355,1,3.0,4,1478100,21500.0
356,2,3.0,3,9700,0.0
357,2,3.0,3,420000,0.0
358,1,3.0,5,1090300,58700.0
359,1,1.0,3,956600,65800.0
360,2,9.0,4,2093800,41300.0
361,1,3.0,5,40662000,863200.0
362,1,3.0,4,4780800,0.0
363,2,1.0,3,106600,2600.0
364,2,9.0,3,61800,5500.0
365,2,3.0,3,4322700,141100.0
366,1,9.0,3,526200,2000.0
367,2,9.0,4,231000,0.0
368,1,9.0,3,590000,38300.0
369,2,9.0,3,157600,26000.0
370,2,9.0,4,279600,0.0
371,2,3.0,4,113300,2500.0
372,2,9.0,4,154800,0.0
373,1,9.0,3,237000,11500.0
374,2,9.0,3,870600,65000.0
375,2,3.0,3,911100,82500.0
376,1,3.0,3,711000,0.0
377,2,3.0,3,935800,65800.0
378,2,9.0,4,231800,31100.0
379,2,3.0,3,1013700,29500.0
380,2,9.0,4,697600,34200.0
381,1,9.0,3,518500,18200.0
382,1,3.0,3,123000,30000.0
383,1,9.0,4,160400,30000.0
384,2,9.0,4,3400,0.0
385,1,3.0,4,357700,28800.0
386,2,3.0,2,101200,0.0
387,2,3.0,4,92100,3800.0
388,2,4.0,5,684000,113300.0
389,1,3.0,4,3408000,118900.0
390,2,3.0,3,86800,13200.0
391,1,3.0,4,189600,0.0
392,2,3.0,4,346400,0.0
393,1,9.0,3,67400,10700.0
394,1,3.0,4,2341000,42500.0
395,2,7.0,4,215100,24000.0
396,1,9.0,5,600900,15500.0
397,1,9.0,3,281100,9400.0
398,2,3.0,3,105400,4400.0
399,2,3.0,4,506000,2500.0
400,1,9.0,3,41500,500.0
401,2,9.0,4,359400,10400.0
402,1,4.0,4,19290500,317700.0
403,2,7.0,4,245800,0.0
404,2,3.0,4,342600,16500.0
405,2,3.0,4,197000,13800.0
406,2,3.0,4,6151200,39000.0
407,2,3.0,3,1626100,27600.0
408,2,3.0,3,360500,44900.0
409,1,9.0,4,189800,0.0
410,2,3.0,3,278300,0.0
411,1,3.0,6,2134700,2500.0
412,2,9.0,4,302100,14900.0
413,1,3.0,4,329000,83800.0
414,1,9.0,5,601000,76600.0
415,2,9.0,4,5750200,210700.0
416,2,4.0,5,944900,35600.0
417,1,9.0,4,686400,29600.0
418,2,9.0,3,192600,0.0
419,1,9.0,5,56100,0.0
420,2,13.0,4,675400,10000.0
421,2,9.0,5,435400,2300.0
422,1,9.0,3,1244300,30600.0
423,2,3.0,3,597000,0.0
424,2,2.0,4,1584500,60900.0
425,1,3.0,4,6081700,457000.0
426,1,3.0,3,2234600,21200.0
427,2,3.0,3,82500,1500.0
428,1,3.0,4,144100,5100.0
429,1,3.0,3,4285200,49800.0
430,2,3.0,3,225300,4000.0
431,2,9.0,3,356600,33200.0
432,1,4.0,5,2725800,0.0
433,2,3.0,3,455200,0.0
434,1,9.0,4,412200,49500.0
435,2,7.0,4,1071500,9500.0
436,2,9.0,4,304800,38300.0
437,1,9.0,4,25200,0.0
438,1,9.0,3,332100,0.0
439,2,9.0,3,372600,13200.0
440,1,9.0,4,79300,9400.0
441,1,9.0,4,544800,1500.0
442,1,9.0,3,637800,23000.0
443,2,4.0,5,1214600,0.0
444,2,3.0,3,240500,6500.0
445,1,3.0,4,657200,63000.0
446,1,3.0,4,525800,58300.0
447,1,9.0,6,183600,0.0
448,2,9.0,3,782400,33800.0
449,2,9.0,3,150200,18000.0
450,2,7.0,3,498700,20700.0
451,2,9.0,4,621400,0.0
452,2,9.0,3,300,0.0
453,2,9.0,3,233400,28600.0
454,1,3.0,4,1465100,93800.0
455,2,3.0,4,227200,7300.0
456,1,3.0,4,3422800,129600.0
457,2,3.0,3,8500,0.0
458,2,9.0,4,75000,0.0
459,1,9.0,4,1415400,45800.0
460,1,3.0,6,3463400,257100.0
461,1,3.0,3,65400,17000.0
462,1,3.0,5,11646700,363400.0
463,2,4.0,4,215600,0.0
464,1,3.0,4,62800,9400.0
465,2,3.0,5,2020200,0.0
466,1,9.0,4,1114800,31800.0
467,1,3.0,4,2630900,134300.0
468,1,3.0,3,17100,16800.0
469,2,3.0,4,147200,0.0
470,1,13.0,4,1248200,118900.0
471,1,9.0,4,108200,11000.0
472,1,3.0,3,3600,9000.0
473,2,3.0,3,139800,13100.0
474,2,3.0,2,126200,0.0
475,2,2.0,3,207700,41900.0
476,2,9.0,4,45400,5000.0
477,2,9.0,4,200600,0.0
478,2,3.0,4,1559500,84000.0
479,1,9.0,4,269300,33900.0
480,1,3.0,4,554100,49000.0
481,2,3.0,4,936900,0.0
482,2,3.0,3,1260400,19000.0
483,1,3.0,3,756800,11000.0
484,1,9.0,3,197800,0.0
485,2,4.0,4,4364400,9700.0
486,2,3.0,3,796100,40600.0
487,2,9.0,4,348800,60100.0
488,1,7.0,5,2696600,454100.0
489,2,9.0,4,730400,0.0
490,2,3.0,3,123700,18600.0
491,1,9.0,3,695700,23300.0
492,2,3.0,4,147700,0.0
493,1,3.0,4,35300,0.0
494,1,3.0,4,1940100,0.0
495,1,9.0,6,2950400,177100.0
496,1,4.0,4,507300,22500.0
497,2,9.0,5,369400,25400.0
498,1,3.0,4,692800,0.0
499,1,9.0,3,57600,9300.0
500,2,9.0,3,683100,12200.0
501,2,3.0,3,547500,2800.0
502,1,9.0,4,3400,700.0
503,1,3.0,3,5413800,134000.0
504,1,3.0,6,108000,0.0
505,1,3.0,4,751300,75400.0
506,2,9.0,4,1973900,75900.0
507,1,3.0,3,35400,0.0
508,2,9.0,4,393100,31200.0
509,1,9.0,4,293800,0.0
510,2,9.0,3,218100,400.0
511,2,9.0,3,390400,12200.0
512,1,3.0,5,2402900,76500.0
513,2,3.0,5,1931100,127400.0
514,1,9.0,3,151800,19400.0
515,2,2.0,2,580800,41400.0
516,1,3.0,4,68000,25000.0
517,2,3.0,4,5679300,62000.0
518,2,3.0,5,100800,4600.0
519,2,9.0,4,714000,24700.0
520,1,3.0,3,1465500,17400.0
521,1,9.0,3,833900,45100.0
522,1,9.0,3,128600,0.0
523,1,7.0,3,490900,68100.0
524,1,3.0,4,868200,61100.0
525,2,9.0,3,156000,3000.0
526,2,9.0,4,1292700,163200.0
527,2,9.0,3,605000,12000.0
528,2,9.0,4,2349100,71800.0
529,2,9.0,4,241000,0.0
530,2,3.0,5,41564100,226500.0
531,1,9.0,5,873200,29000.0
532,2,3.0,4,417800,10000.0
533,1,9.0,3,200,0.0
534,1,3.0,5,118400,3000.0
535,2,3.0,4,984300,44400.0
536,2,9.0,5,146100,28500.0
537,2,9.0,3,184000,7500.0
538,1,3.0,5,828000,17500.0
539,1,9.0,5,1511700,5000.0
540,1,3.0,4,538700,18900.0
541,2,9.0,5,1745600,0.0
542,2,3.0,5,975000,123900.0
543,2,3.0,4,290900,2400.0
544,2,3.0,4,1536600,17600.0
545,2,3.0,3,312100,13200.0
546,1,3.0,6,692000,0.0
547,1,9.0,6,178200,71200.0
548,2,3.0,4,6223200,55200.0
549,2,9.0,5,15800,0.0
550,2,3.0,4,2552800,25400.0
551,1,9.0,3,536700,10700.0
552,1,3.0,4,298800,11600.0
553,2,3.0,3,63500,7000.0
554,2,3.0,3,142100,300.0
555,1,3.0,4,2761800,0.0
556,2,3.0,4,435000,18300.0
557,2,9.0,4,1752400,23000.0
558,1,9.0,4,3359900,86900.0
559,2,3.0,3,3897900,91600.0
560,2,9.0,5,38200,10900.0
561,1,9.0,3,31400,0.0
562,1,9.0,5,265200,8700.0
563,2,9.0,4,1095000,0.0
564,2,3.0,4,15800,0.0
565,1,9.0,4,509300,30200.0
566,2,3.0,4,201000,14400.0
567,2,2.0,3,194100,0.0
568,1,3.0,3,1183000,65100.0
569,2,9.0,4,90000,0.0
570,1,3.0,3,1032400,58700.0
571,1,3.0,4,313800,30600.0
572,2,4.0,4,452800,0.0
573,1,9.0,4,803800,0.0
574,1,7.0,3,6001000,105600.0
575,1,9.0,4,178700,12100.0
576,2,9.0,5,402000,50900.0
577,1,9.0,4,2181400,5300.0
578,2,9.0,4,213200,0.0
579,1,1.0,6,335900,24400.0
580,2,9.0,3,254900,23000.0
581,1,9.0,4,160400,36400.0
582,2,9.0,5,1600,1200.0
583,2,9.0,3,261600,0.0
584,2,9.0,3,73900,22600.0
585,1,9.0,3,268000,6000.0
586,2,3.0,3,1263900,40800.0
587,2,3.0,4,3478600,24600.0
588,1,3.0,4,704800,21700.0
589,2,9.0,3,1618200,42000.0
590,1,9.0,5,14676400,8200.0
591,1,3.0,4,760900,47500.0
592,1,3.0,4,1736600,700.0
593,1,2.0,3,8866400,159400.0
594,2,3.0,3,109200,0.0
595,2,3.0,2,5400,0.0
596,2,3.0,4,6152200,277000.0
597,1,3.0,4,423100,50500.0
598,2,3.0,4,1059900,7800.0
599,2,9.0,3,1074000,73700.0
600,2,9.0,3,157100,22800.0
601,2,2.0,3,1352000,92200.0
602,1,3.0,3,10011200,105900.0
603,1,9.0,4,69600,3000.0
604,1,3.0,6,36000,700.0
605,2,3.0,3,1559400,5000.0
606,2,9.0,4,433500,0.0
607,2,3.0,3,782300,25200.0
608,2,9.0,3,156400,0.0
609,2,3.0,3,157600,19500.0
610,2,3.0,4,515700,0.0
611,2,9.0,3,104500,12800.0
612,2,3.0,3,477500,26000.0
613,2,9.0,3,296700,21700.0
614,1,3.0,3,1482300,225100.0
615,1,9.0,3,353200,21200.0
616,2,3.0,4,234600,0.0
617,2,9.0,5,220800,13000.0
618,1,4.0,6,2242400,128100.0
619,1,9.0,4,272500,30500.0
620,1,3.0,3,279200,11900.0
621,2,9.0,4,1012900,0.0
622,2,2.0,5,205200,37700.0
623,2,3.0,4,204500,71000.0
624,2,9.0,4,393500,4900.0
625,2,3.0,3,140000,9400.0
626,1,9.0,3,16400,0.0
627,2,3.0,3,45200,0.0
628,1,3.0,4,11473400,1288300.0
629,2,9.0,4,10400,0.0
630,2,3.0,4,540100,4100.0
631,2,9.0,4,9400,0.0
632,2,9.0,4,491200,0.0
633,2,9.0,3,172000,5000.0
634,2,3.0,5,2619600,0.0
635,2,3.0,3,418200,12500.0
636,2,9.0,4,48900,2500.0
637,1,3.0,5,68000,0.0
638,1,9.0,4,3292600,117900.0
639,1,3.0,4,145800,0.0
640,1,9.0,3,87100,7500.0
641,2,9.0,3,1111900,15000.0
642,2,3.0,4,2840600,131800.0
643,1,9.0,4,86500,19100.0
644,1,3.0,4,1618900,43200.0
645,2,3.0,4,332100,149200.0
646,2,9.0,4,124800,0.0
647,2,1.0,4,60600,0.0
648,2,3.0,4,1093100,315300.0
649,2,3.0,3,535500,62900.0
650,1,7.0,4,44200,0.0
651,2,9.0,4,55900,4500.0
652,2,9.0,3,422800,2000.0
653,1,9.0,3,615600,70300.0
654,1,7.0,4,1403100,3100.0
655,2,9.0,3,541400,5000.0
656,1,3.0,3,552900,124100.0
657,2,3.0,4,20600,7200.0
658,1,9.0,3,64300,0.0
659,2,3.0,4,1925400,19600.0
660,2,3.0,3,60600,0.0
661,2,3.0,4,166600,6400.0
662,1,9.0,3,589400,900.0
663,2,9.0,3,285800,27200.0
664,1,3.0,4,109000,13300.0
665,2,9.0,3,839300,18600.0
666,1,3.0,4,460800,3000.0
667,1,3.0,4,121900,11100.0
668,1,4.0,4,7828800,0.0
669,1,3.0,3,7638800,140500.0
670,1,7.0,4,1312400,34800.0
671,2,3.0,3,211600,0.0
672,2,3.0,3,886800,0.0
673,2,3.0,4,823800,616800.0
674,1,4.0,4,2460700,66700.0
675,1,9.0,4,2625100,25800.0
676,2,9.0,3,251400,0.0
677,2,9.0,4,6932000,3900.0
678,2,4.0,5,2174400,100800.0
679,2,9.0,4,447600,0.0
680,2,3.0,4,562600,56900.0
681,2,3.0,4,2024200,3300.0
682,1,9.0,4,1462000,54000.0
683,1,9.0,5,102600,2400.0
684,2,3.0,4,802800,7000.0
685,2,3.0,4,361700,47300.0
686,1,3.0,3,420600,0.0
687,2,9.0,3,475700,3000.0
688,2,9.0,3,340600,0.0
689,2,9.0,4,545800,26800.0
690,2,3.0,4,852600,2000.0
691,2,9.0,4,318400,17400.0
692,1,9.0,5,144600,700.0
693,2,3.0,4,3319500,128600.0
694,2,3.0,3,340700,10600.0
695,2,9.0,3,46100,0.0
696,2,3.0,4,5678600,170200.0
697,1,3.0,4,9114000,153900.0
698,1,9.0,3,301200,0.0
699,2,3.0,4,338800,38500.0
700,2,9.0,3,274200,600.0
701,2,3.0,3,200,0.0
702,2,3.0,3,547000,51500.0
703,1,3.0,4,69752600,853800.0
704,1,9.0,4,140300,18300.0
705,2,9.0,3,414600,25400.0
706,2,3.0,3,296600,90200.0
707,2,3.0,3,120400,0.0
708,2,3.0,3,796500,0.0
709,2,3.0,4,1025400,25000.0
710,2,3.0,5,2144400,141300.0
711,1,3.0,4,1047500,126800.0
712,1,9.0,4,859400,10600.0
713,2,3.0,4,255500,113200.0
714,2,9.0,4,136300,39600.0
715,2,3.0,3,202300,20000.0
716,1,9.0,5,999600,7800.0
717,2,9.0,3,184500,56400.0
718,2,3.0,4,2365800,24100.0
719,2,9.0,4,74200,0.0
720,2,3.0,3,148100,0.0
721,2,3.0,3,4583500,167400.0
722,1,9.0,3,325200,28200.0
723,2,3.0,4,2542400,90700.0
724,2,9.0,3,383800,48700.0
725,2,9.0,3,600700,0.0
726,2,9.0,3,1002600,16000.0
727,1,3.0,4,708400,16600.0
728,2,3.0,3,330000,0.0
729,1,3.0,4,60600,25400.0
730,1,3.0,5,682600,20300.0
731,1,9.0,4,370300,0.0
732,1,3.0,4,729400,1100.0
733,2,3.0,5,1791400,77200.0
734,2,3.0,5,28200,9500.0
735,1,3.0,5,2046700,698000.0
736,2,3.0,4,4127500,553700.0
737,2,4.0,4,1801200,6700.0
738,2,3.0,4,72000,1000.0
739,2,9.0,4,1338000,0.0
740,2,3.0,4,638900,29600.0
741,1,3.0,4,8739600,57300.0
742,2,3.0,5,490600,0.0
743,1,9.0,3,11006100,57600.0
744,1,3.0,4,100,0.0
745,2,12.0,4,2834900,212400.0
746,2,3.0,4,2417100,99500.0
747,2,3.0,5,2397100,109500.0
748,1,9.0,3,458800,15600.0
749,1,9.0,3,45000,14100.0
750,1,3.0,3,5534000,626600.0
751,1,9.0,4,15600,10200.0
752,2,9.0,3,831800,7000.0
753,1,4.0,3,4373900,325400.0
754,2,3.0,4,631700,14800.0
755,2,9.0,3,5361300,67800.0
756,1,9.0,4,1742900,64100.0
757,1,3.0,3,280500,1000.0
758,2,3.0,5,717400,76000.0
759,2,9.0,4,792900,0.0
760,1,3.0,4,306600,15000.0
761,2,9.0,4,153100,12700.0
762,1,3.0,4,835000,34500.0
763,1,9.0,2,401100,70800.0
764,2,3.0,3,136200,3000.0
765,2,3.0,3,698200,36100.0
766,2,3.0,3,243800,2500.0
767,1,9.0,4,346800,33200.0
768,1,9.0,4,447800,28000.0
769,1,13.0,4,50000,300.0
770,1,9.0,4,94800,0.0
771,2,9.0,4,8497400,33200.0
772,2,3.0,3,1748300,101500.0
